"Cohort"	"Form.Name"	"Form.Type"	"Table.Name"	"Variable.Name"	"Variable.Description"	"Data.Type"	"Code"	"Code.Description"	"Specify"	"FixedUnit"	"Logline"	"LowerRange"	"UpperRange"
"36"	"FROST"	"Frost Status"	"Common Form"	"FROST"	"FROSTSTS"	"Frost Subject Status"	"RadioButton (Vertical)"	"1"	"Active"	"FALSE"	NA	"FALSE"	NA	NA
"37"	"FROST"	"Frost Status"	"Common Form"	"FROST"	"FROSTSTS"	"Frost Subject Status"	"RadioButton (Vertical)"	"2"	"Complete (will continue in CARRA Registry)"	"FALSE"	NA	"FALSE"	NA	NA
"38"	"FROST"	"Frost Status"	"Common Form"	"FROST"	"FROSTDTC"	"Date of Withdrawal"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"39"	"FROST"	"Frost Status"	"Common Form"	"FROST"	"FROSTWDR"	"Reason for withdrawal"	"LongText"	NA	NA	NA	NA	"FALSE"	NA	NA
"40"	"FROST"	"Frost Status"	"Common Form"	"FROST"	"NOHOMPRO"	"Subject will not complete Home PROs"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"41"	"FROST"	"Frost Status"	"Common Form"	"FROST"	"HOMEPRDT"	"Date Subject Stopped Home PROs"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"42"	"PROMOTE"	"PROMOTE Status"	"Common Form"	"PROMOTE"	"PROMBDTC"	"PROMOTE Baseline Date"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"43"	"PROMOTE"	"PROMOTE Status"	"Common Form"	"PROMOTE"	"PROMOSTS"	"PROMOTE Subject Status"	"RadioButton (Vertical)"	"1"	"Active"	"FALSE"	NA	"FALSE"	NA	NA
"44"	"PROMOTE"	"PROMOTE Status"	"Common Form"	"PROMOTE"	"PROMOSTS"	"PROMOTE Subject Status"	"RadioButton (Vertical)"	"2"	"Withdraw from PROMOTE (continue in CARRA Registry)"	"FALSE"	NA	"FALSE"	NA	NA
"45"	"PROMOTE"	"PROMOTE Status"	"Common Form"	"PROMOTE"	"PROMOSTS"	"PROMOTE Subject Status"	"RadioButton (Vertical)"	"3"	"Complete (will continue in CARRA Registry)"	"FALSE"	NA	"FALSE"	NA	NA
"46"	"PROMOTE"	"PROMOTE Status"	"Common Form"	"PROMOTE"	"PROWTDTC"	"PROMOTE Date of Withdrawal"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"47"	"Recapture-JIA"	"Recapture JIA Status"	"Common Form"	"RECAPTURE"	"RECAPBDT"	"Recapture JIA Baseline Date"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"48"	"Recapture-JIA"	"Recapture JIA Status"	"Common Form"	"RECAPTURE"	"RCAPSTAT"	"Recapture JIA Subject Status"	"RadioButton (Vertical)"	"1"	"Active"	"FALSE"	NA	"FALSE"	NA	NA
"49"	"Recapture-JIA"	"Recapture JIA Status"	"Common Form"	"RECAPTURE"	"RCAPSTAT"	"Recapture JIA Subject Status"	"RadioButton (Vertical)"	"2"	"Withdraw from Recapture JIA (continue in CARRA Registry)"	"FALSE"	NA	"FALSE"	NA	NA
"50"	"Recapture-JIA"	"Recapture JIA Status"	"Common Form"	"RECAPTURE"	"RCAPSTAT"	"Recapture JIA Subject Status"	"RadioButton (Vertical)"	"3"	"Complete (will continue in CARRA Registry)"	"FALSE"	NA	"FALSE"	NA	NA
"51"	"Recapture-JIA"	"Recapture JIA Status"	"Common Form"	"RECAPTURE"	"RECPWTDT"	"Recapture JIA Date of Withdrawal"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"52"	"Recapture-JIA"	"Recapture JIA Status"	"Common Form"	"RECAPTURE"	"EPISTRDT"	"Approximate start date of episode of inactive disease preceding current flare (per treating physician’s opinion):"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"53"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"RGCNSDTC"	"Original Registry Consent date"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"54"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"CONSENTF"	"Attach consent form"	"File Upload"	NA	NA	NA	NA	"FALSE"	NA	NA
"55"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"RECNSDTC"	"Most recent re-consent date, if applicable"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"56"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"RECONSTF"	"Attach most recent re-consent form"	"File Upload"	NA	NA	NA	NA	"FALSE"	NA	NA
"57"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"ASSENTF"	"Attach assent form if applicable"	"File Upload"	NA	NA	NA	NA	"FALSE"	NA	NA
"58"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"MEDICALF"	"Attach medical release form"	"File Upload"	NA	NA	NA	NA	"FALSE"	NA	NA
"59"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"BIOSAMCN"	"Biorepository Sample consented"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"60"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"BIOSAMCN"	"Biorepository Sample consented"	"RadioButton"	"1"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"61"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"BIOCONDT"	"Consent Date"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"62"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"BIOCONSF"	"Attach Biorepository consent form"	"File Upload"	NA	NA	NA	NA	"FALSE"	NA	NA
"63"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"BIOSAMP1"	"Subject consented to the following samples: Blood"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"64"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"BIOSAMP2"	"Urine"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"65"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"BIOSAMP7"	"DNA and RNA"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"66"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"BIOSAMP3"	"Cheek Swab (for DNA)"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"67"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"BIOSAMP4"	"Stool Samples"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"68"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"BIOSAMP5"	"Joint Fluid (joint injection/aspiration)"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"69"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"BIOSAMP6"	"Extra tissue (tissue biopsy)"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"70"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"BIOSMP6A"	"Extra tissue type"	"SearchList"	"1"	"Lymph Node"	"FALSE"	NA	"FALSE"	NA	NA
"71"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"BIOSMP6A"	"Extra tissue type"	"SearchList"	"2"	"Brain"	"FALSE"	NA	"FALSE"	NA	NA
"72"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"BIOSMP6A"	"Extra tissue type"	"SearchList"	"3"	"Lung"	"FALSE"	NA	"FALSE"	NA	NA
"73"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"BIOSMP6A"	"Extra tissue type"	"SearchList"	"4"	"Muscle"	"FALSE"	NA	"FALSE"	NA	NA
"74"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"BIOSMP6A"	"Extra tissue type"	"SearchList"	"5"	"Skin"	"FALSE"	NA	"FALSE"	NA	NA
"75"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"BIOSMP6A"	"Extra tissue type"	"SearchList"	"98"	"Other"	"TRUE"	NA	"FALSE"	NA	NA
"76"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"BIOCNWTD"	"Biorepository Sample consent withdrawn"	"CheckBox"	NA	NA	NA	"Yes"	"FALSE"	NA	NA
"77"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"BIOWTHDT"	"Withdrawal Date"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"78"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"SAMPDEST"	"Did subject request that samples be destroyed"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"79"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"SAMPDEST"	"Did subject request that samples be destroyed"	"RadioButton"	"1"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"80"	"Registry - All"	"Consent Forms"	"Common Form"	"CONSENT"	"BIOWTHCM"	"Comment:"	"LongText"	NA	NA	NA	NA	"FALSE"	NA	NA
"81"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"BRTHDAT"	"Date of Birth"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"82"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"ASIAN"	"Asian"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"83"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"BLACK"	"Black,  African American, African, or Afro-Caribbean"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"84"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"HISPANIC"	"Hispanic, Latino, or Spanish origin"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"85"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"MIDEAST"	"Middle Eastern/North African"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"86"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"AMERIND"	"Native American, American Indian or Alaskan Native"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"87"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"NATHWN"	"Native Hawaiian or Other Pacific Islander"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"88"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"WHITE"	"White"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"89"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"NOANSWER"	"Prefer not to answer"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"90"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"OTHRACE"	"Other"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"91"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"OTHRACSP"	"Other: specify"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"92"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"SEX"	"Sex"	"RadioButton (Vertical)"	"1"	"Male"	"FALSE"	NA	"FALSE"	NA	NA
"93"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"SEX"	"Sex"	"RadioButton (Vertical)"	"2"	"Female"	"FALSE"	NA	"FALSE"	NA	NA
"94"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"SEX"	"Sex"	"RadioButton (Vertical)"	"98"	"Other"	"FALSE"	NA	"FALSE"	NA	NA
"95"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"RESIDENC"	"Country of primary residence at onset of disease symptoms"	"SearchList"	"1"	"United States"	"FALSE"	NA	"FALSE"	NA	NA
"96"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"RESIDENC"	"Country of primary residence at onset of disease symptoms"	"SearchList"	"2"	"Canada"	"FALSE"	NA	"FALSE"	NA	NA
"97"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"RESIDENC"	"Country of primary residence at onset of disease symptoms"	"SearchList"	"98"	"Other country"	"TRUE"	NA	"FALSE"	NA	NA
"98"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"RESIDENC"	"Country of primary residence at onset of disease symptoms"	"SearchList"	"99"	"Unknown or do not wish to provide"	"FALSE"	NA	"FALSE"	NA	NA
"99"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"ZIPCODE"	"Zip Code/Postal Code:"	"Text"	NA	NA	NA	NA	"FALSE"	NA	NA
"100"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"INCOME"	"Household income (annual gross)"	"DropDownList"	"1"	"<25,000"	"FALSE"	NA	"FALSE"	NA	NA
"101"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"INCOME"	"Household income (annual gross)"	"DropDownList"	"2"	"25-49,999"	"FALSE"	NA	"FALSE"	NA	NA
"102"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"INCOME"	"Household income (annual gross)"	"DropDownList"	"3"	"50-74,999"	"FALSE"	NA	"FALSE"	NA	NA
"103"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"INCOME"	"Household income (annual gross)"	"DropDownList"	"4"	"75-99,999"	"FALSE"	NA	"FALSE"	NA	NA
"104"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"INCOME"	"Household income (annual gross)"	"DropDownList"	"5"	"100,000-150,000"	"FALSE"	NA	"FALSE"	NA	NA
"105"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"INCOME"	"Household income (annual gross)"	"DropDownList"	"6"	"above 150,000"	"FALSE"	NA	"FALSE"	NA	NA
"106"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"INCOME"	"Household income (annual gross)"	"DropDownList"	"7"	"Prefer not to answer"	"FALSE"	NA	"FALSE"	NA	NA
"107"	"Registry - All"	"Demographics A"	"Common Form"	"DEM"	"INCOME"	"Household income (annual gross)"	"DropDownList"	"99"	"Unknown"	"FALSE"	NA	"FALSE"	NA	NA
"108"	"Registry - All"	"Demographics B"	"Common Form"	"DEMB"	"GENDER"	"Gender"	"RadioButton (Vertical)"	"1"	"Male"	"FALSE"	NA	"FALSE"	NA	NA
"109"	"Registry - All"	"Demographics B"	"Common Form"	"DEMB"	"GENDER"	"Gender"	"RadioButton (Vertical)"	"2"	"Female"	"FALSE"	NA	"FALSE"	NA	NA
"110"	"Registry - All"	"Demographics B"	"Common Form"	"DEMB"	"GENDER"	"Gender"	"RadioButton (Vertical)"	"98"	"Other"	"FALSE"	NA	"FALSE"	NA	NA
"111"	"Registry - All"	"Demographics B"	"Common Form"	"DEMB"	"EDUCATE"	"Highest level of parent/guardian education completed"	"RadioButton (Vertical)"	"1"	"Elementary/middle school (grade 1 -8)"	"FALSE"	NA	"FALSE"	NA	NA
"112"	"Registry - All"	"Demographics B"	"Common Form"	"DEMB"	"EDUCATE"	"Highest level of parent/guardian education completed"	"RadioButton (Vertical)"	"2"	"Some high school (grade 9-11)"	"FALSE"	NA	"FALSE"	NA	NA
"113"	"Registry - All"	"Demographics B"	"Common Form"	"DEMB"	"EDUCATE"	"Highest level of parent/guardian education completed"	"RadioButton (Vertical)"	"3"	"Graduated high school (grade 12 or GED)"	"FALSE"	NA	"FALSE"	NA	NA
"114"	"Registry - All"	"Demographics B"	"Common Form"	"DEMB"	"EDUCATE"	"Highest level of parent/guardian education completed"	"RadioButton (Vertical)"	"4"	"College (1-4 year college, junior college or technical school)"	"FALSE"	NA	"FALSE"	NA	NA
"115"	"Registry - All"	"Demographics B"	"Common Form"	"DEMB"	"EDUCATE"	"Highest level of parent/guardian education completed"	"RadioButton (Vertical)"	"5"	"Graduate school (e.g., Masters, Doctorate, or professional degree)"	"FALSE"	NA	"FALSE"	NA	NA
"116"	"Registry - All"	"Demographics B"	"Common Form"	"DEMB"	"EDUCATE"	"Highest level of parent/guardian education completed"	"RadioButton (Vertical)"	"6"	"Prefer not to answer"	"FALSE"	NA	"FALSE"	NA	NA
"117"	"Registry - Female"	"Menses"	"Common Form"	"MENSES"	"ONSTMENS"	"Female subjects only:  onset of menses (menarche)"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"118"	"Registry - Female"	"Menses"	"Common Form"	"MENSES"	"ONSTMENS"	"Female subjects only:  onset of menses (menarche)"	"RadioButton"	"1"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"119"	"Registry - Female"	"Menses"	"Common Form"	"MENSES"	"MENSONDT"	"Approximate date:"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"120"	"Registry - All"	"Comorbid Conditions"	"Common Form"	"COMORBID"	"SECRHEUM"	"Does subject have any secondary rheumatological diseases?"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"121"	"Registry - All"	"Comorbid Conditions"	"Common Form"	"COMORBID"	"SECRHEUM"	"Does subject have any secondary rheumatological diseases?"	"RadioButton"	"1"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"122"	"Registry - All"	"Comorbid Conditions"	"Common Form"	"COMORBID"	"PREXCOND"	"Does subject have any other medical conditions?"	"RadioButton"	"0"	"No"	"FALSE"	NA	"FALSE"	NA	NA
"123"	"Registry - All"	"Comorbid Conditions"	"Common Form"	"COMORBID"	"PREXCOND"	"Does subject have any other medical conditions?"	"RadioButton"	"1"	"Yes"	"FALSE"	NA	"FALSE"	NA	NA
"124"	"Registry - All"	"Secondary Rheumatological Diseases"	"Common Form"	"SECRHEUM"	"AUTOINFL"	"Auto-inflammatory disease (including fever syndromes, Chronic recurrent multifocal osteomyelitis)"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"125"	"Registry - All"	"Secondary Rheumatological Diseases"	"Common Form"	"SECRHEUM"	"ORONSDT1"	"Date of onset:"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"126"	"Registry - All"	"Secondary Rheumatological Diseases"	"Common Form"	"SECRHEUM"	"ANTIPHOS"	"Antiphospholipid Syndrome"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"127"	"Registry - All"	"Secondary Rheumatological Diseases"	"Common Form"	"SECRHEUM"	"OROSDT13"	"Date of onset:"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"128"	"Registry - All"	"Secondary Rheumatological Diseases"	"Common Form"	"SECRHEUM"	"ANTIPRSC"	"Antiphospholipid type"	"RadioButton"	"1"	"Primary"	"FALSE"	NA	"FALSE"	NA	NA
"129"	"Registry - All"	"Secondary Rheumatological Diseases"	"Common Form"	"SECRHEUM"	"ANTIPRSC"	"Antiphospholipid type"	"RadioButton"	"2"	"Secondary"	"FALSE"	NA	"FALSE"	NA	NA
"130"	"Registry - All"	"Secondary Rheumatological Diseases"	"Common Form"	"SECRHEUM"	"CHROVASC"	"Chronic Vasculitis (excluding Kawasaki and Henoch-Schonlein purpura)"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"131"	"Registry - All"	"Secondary Rheumatological Diseases"	"Common Form"	"SECRHEUM"	"ORONSDT2"	"Date of onset:"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"132"	"Registry - All"	"Secondary Rheumatological Diseases"	"Common Form"	"SECRHEUM"	"IDIOPUVE"	"Idiopathic uveitis (not associated with other rheumatologic disease)"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"133"	"Registry - All"	"Secondary Rheumatological Diseases"	"Common Form"	"SECRHEUM"	"ORONSDT3"	"Date of onset:"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"134"	"Registry - All"	"Secondary Rheumatological Diseases"	"Common Form"	"SECRHEUM"	"JUVDERMA"	"Juvenile dermatomyositis"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"135"	"Registry - All"	"Secondary Rheumatological Diseases"	"Common Form"	"SECRHEUM"	"ORONSDT4"	"Date of onset:"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
"136"	"Registry - All"	"Secondary Rheumatological Diseases"	"Common Form"	"SECRHEUM"	"JUVIDIOP"	"Juvenile idiopathic arthritis"	"CheckBox"	NA	NA	NA	NA	"FALSE"	NA	NA
"137"	"Registry - All"	"Secondary Rheumatological Diseases"	"Common Form"	"SECRHEUM"	"ORONSDT5"	"Date of onset:"	"DateTime"	NA	NA	NA	NA	"FALSE"	NA	NA
